country,year,cases,sex,age
AE,1970,6.0,m,55-64
AE,1970,12.0,m,55-64
AE,1970,10.0,m,55-64
AE,1970,2.0,m,55-64
AE,1970,1.0,m,55-64
AE,1970,1.0,m,55-64
AE,1970,3.0,m,55-64
AE,1970,3.0,m,55-64
AE,1970,2.0,f,65+
AE,1970,4.0,f,65+
AE,1970,1.0,f,65+
AE,1970,4.0,f,65+
AE,1970,3.0,f,65+
AE,1970,5.0,f,65+
AE,1970,0.0,f,65+
AE,1970,3.0,f,65+
AE,1970,5.0,m,65+
AE,1970,10.0,m,65+
AE,1970,0.0,m,65+
AE,1970,10.0,m,65+
AE,1970,7.0,m,65+
AE,1970,4.0,m,65+
AE,1970,10.0,m,65+
AE,1970,6.0,m,65+
AE,1970,9.0,f,
AE,1970,3.0,f,
AE,1970,3.0,f,
AE,1970,4.0,f,
AE,1970,3.0,f,
AE,1970,2.0,f,
AE,1970,1.0,f,
AE,1970,0.0,f,
AE,1970,0.0,f,
AE,1970,4.0,m,
AE,1970,2.0,m,
AE,1970,1.0,m,
AE,1970,2.0,m,
AE,1970,1.0,m,
AE,1970,0.0,m,
AE,1970,2.0,m,
AE,1970,0.0,m,
AE,1970,0.0,m,
AF,1970,38.0,f,15-24
AF,1970,350.0,f,15-24
AF,1970,139.0,f,15-24
AF,1970,414.0,f,15-24
AF,1970,799.0,f,15-24
AF,1970,1119.0,f,15-24
AF,1970,1152.0,f,15-24
AF,1970,1360.0,f,15-24
AF,1970,1651.0,f,15-24
AF,1970,2139.0,f,15-24
AF,1970,2224.0,f,15-24
AF,1970,2094.0,f,15-24
AF,1970,10.0,m,15-24
AF,1970,129.0,m,15-24
AF,1970,55.0,m,15-24
AF,1970,228.0,m,15-24
AF,1970,379.0,m,15-24
AF,1970,476.0,m,15-24
AF,1970,511.0,m,15-24
AF,1970,537.0,m,15-24
AF,1970,606.0,m,15-24
AF,1970,837.0,m,15-24
AF,1970,856.0,m,15-24
AF,1970,941.0,m,15-24
AF,1970,36.0,f,25-34
AF,1970,419.0,f,25-34
AF,1970,160.0,f,25-34
AF,1970,565.0,f,25-34
AF,1970,888.0,f,25-34
AF,1970,1251.0,f,25-34
AF,1970,1287.0,f,25-34
AF,1970,1561.0,f,25-34
AF,1970,1959.0,f,25-34
AF,1970,2340.0,f,25-34
AF,1970,2357.0,f,25-34
AF,1970,2449.0,f,25-34
AF,1970,6.0,m,25-34
AF,1970,128.0,m,25-34
AF,1970,55.0,m,25-34
AF,1970,183.0,m,25-34
AF,1970,349.0,m,25-34
AF,1970,481.0,m,25-34
AF,1970,436.0,m,25-34
AF,1970,568.0,m,25-34
AF,1970,560.0,m,25-34
AF,1970,791.0,m,25-34
AF,1970,840.0,m,25-34
AF,1970,773.0,m,25-34
AF,1970,14.0,f,35-44
AF,1970,194.0,f,35-44
AF,1970,110.0,f,35-44
AF,1970,339.0,f,35-44
AF,1970,586.0,f,35-44
AF,1970,792.0,f,35-44
AF,1970,814.0,f,35-44
AF,1970,1096.0,f,35-44
AF,1970,1302.0,f,35-44
AF,1970,1654.0,f,35-44
AF,1970,1708.0,f,35-44
AF,1970,1614.0,f,35-44
AF,1970,3.0,m,35-44
AF,1970,90.0,m,35-44
AF,1970,47.0,m,35-44
AF,1970,149.0,m,35-44
AF,1970,274.0,m,35-44
AF,1970,368.0,m,35-44
AF,1970,284.0,m,35-44
AF,1970,360.0,m,35-44
AF,1970,472.0,m,35-44
AF,1970,574.0,m,35-44
AF,1970,597.0,m,35-44
AF,1970,545.0,m,35-44
AF,1970,8.0,f,45-54
AF,1970,118.0,f,45-54
AF,1970,50.0,f,45-54
AF,1970,205.0,f,45-54
AF,1970,375.0,f,45-54
AF,1970,526.0,f,45-54
AF,1970,462.0,f,45-54
AF,1970,645.0,f,45-54
AF,1970,869.0,f,45-54
AF,1970,1006.0,f,45-54
AF,1970,1143.0,f,45-54
AF,1970,1149.0,f,45-54
AF,1970,5.0,m,45-54
AF,1970,89.0,m,45-54
AF,1970,34.0,m,45-54
AF,1970,129.0,m,45-54
AF,1970,204.0,m,45-54
AF,1970,246.0,m,45-54
AF,1970,256.0,m,45-54
AF,1970,358.0,m,45-54
AF,1970,453.0,m,45-54
AF,1970,572.0,m,45-54
AF,1970,566.0,m,45-54
AF,1970,570.0,m,45-54
AF,1970,0.0,f,55-64
AF,1970,61.0,f,55-64
AF,1970,25.0,f,55-64
AF,1970,99.0,f,55-64
AF,1970,179.0,f,55-64
AF,1970,320.0,f,55-64
AF,1970,305.0,f,55-64
AF,1970,413.0,f,55-64
AF,1970,471.0,f,55-64
AF,1970,630.0,f,55-64
AF,1970,771.0,f,55-64
AF,1970,817.0,f,55-64
AF,1970,2.0,m,55-64
AF,1970,64.0,m,55-64
AF,1970,21.0,m,55-64
AF,1970,94.0,m,55-64
AF,1970,139.0,m,55-64
AF,1970,241.0,m,55-64
AF,1970,288.0,m,55-64
AF,1970,386.0,m,55-64
AF,1970,470.0,m,55-64
AF,1970,572.0,m,55-64
AF,1970,630.0,m,55-64
AF,1970,630.0,m,55-64
AF,1970,1.0,f,65+
AF,1970,20.0,f,65+
AF,1970,8.0,f,65+
AF,1970,36.0,f,65+
AF,1970,89.0,f,65+
AF,1970,218.0,f,65+
AF,1970,158.0,f,65+
AF,1970,256.0,f,65+
AF,1970,246.0,f,65+
AF,1970,309.0,f,65+
AF,1970,353.0,f,65+
AF,1970,364.0,f,65+
AF,1970,0.0,m,65+
AF,1970,41.0,m,65+
AF,1970,8.0,m,65+
AF,1970,80.0,m,65+
AF,1970,103.0,m,65+
AF,1970,189.0,m,65+
AF,1970,203.0,m,65+
AF,1970,310.0,m,65+
AF,1970,419.0,m,65+
AF,1970,410.0,m,65+
AF,1970,507.0,m,65+
AF,1970,575.0,m,65+
AF,1970,5.0,f,
AF,1970,45.0,f,
AF,1970,25.0,f,
AF,1970,93.0,f,
AF,1970,146.0,f,
AF,1970,192.0,f,
AF,1970,245.0,f,
AF,1970,256.0,f,
AF,1970,320.0,f,
AF,1970,442.0,f,
AF,1970,475.0,f,
AF,1970,428.0,f,
AF,1970,0.0,m,
AF,1970,30.0,m,
AF,1970,8.0,m,
AF,1970,52.0,m,
AF,1970,129.0,m,
AF,1970,90.0,m,
AF,1970,127.0,m,
AF,1970,139.0,m,
AF,1970,151.0,m,
AF,1970,193.0,m,
AF,1970,186.0,m,
AF,1970,187.0,m,
AG,1970,0.0,f,0-4
AG,1970,0.0,m,0-4
AG,1970,0.0,f,15-24
AG,1970,1.0,f,15-24
AG,1970,1.0,f,15-24
AG,1970,0.0,f,15-24
AG,1970,0.0,f,15-24
AG,1970,2.0,f,15-24
AG,1970,0.0,f,15-24
AG,1970,0.0,m,15-24
AG,1970,0.0,m,15-24
AG,1970,0.0,m,15-24
AG,1970,0.0,m,15-24
AG,1970,0.0,m,15-24
AG,1970,0.0,f,25-34
AG,1970,1.0,f,25-34
AG,1970,0.0,f,25-34
AG,1970,1.0,f,25-34
AG,1970,0.0,f,25-34
AG,1970,2.0,f,25-34
AG,1970,0.0,f,25-34
AG,1970,0.0,m,25-34
AG,1970,0.0,m,25-34
AG,1970,1.0,m,25-34
AG,1970,1.0,m,25-34
AG,1970,0.0,m,25-34
AG,1970,1.0,f,35-44
AG,1970,0.0,f,35-44
AG,1970,0.0,f,35-44
AG,1970,0.0,f,35-44
AG,1970,0.0,f,35-44
AG,1970,0.0,f,35-44
AG,1970,0.0,m,35-44
AG,1970,0.0,m,35-44
AG,1970,0.0,m,35-44
AG,1970,0.0,m,35-44
AG,1970,1.0,m,35-44
AG,1970,0.0,m,35-44
AG,1970,0.0,f,45-54
AG,1970,0.0,f,45-54
AG,1970,0.0,f,45-54
AG,1970,0.0,f,45-54
AG,1970,0.0,f,45-54
AG,1970,0.0,f,45-54
AG,1970,1.0,m,45-54
AG,1970,0.0,m,45-54
AG,1970,0.0,m,45-54
AG,1970,0.0,m,45-54
AG,1970,1.0,m,45-54
AG,1970,1.0,m,45-54
AG,1970,1.0,m,45-54
AG,1970,0.0,f,5-14
AG,1970,0.0,m,5-14
AG,1970,0.0,f,55-64
AG,1970,0.0,f,55-64
AG,1970,0.0,f,55-64
AG,1970,0.0,f,55-64
AG,1970,0.0,f,55-64
AG,1970,0.0,f,55-64
AG,1970,0.0,m,55-64
AG,1970,0.0,m,55-64
AG,1970,0.0,m,55-64
AG,1970,0.0,m,55-64
AG,1970,1.0,m,55-64
AG,1970,0.0,f,65+
AG,1970,0.0,f,65+
AG,1970,0.0,f,65+
AG,1970,0.0,f,65+
AG,1970,0.0,f,65+
AG,1970,0.0,f,65+
AG,1970,0.0,m,65+
AG,1970,1.0,m,65+
AG,1970,0.0,m,65+
AG,1970,0.0,m,65+
AG,1970,0.0,m,65+
AG,1970,0.0,f,
AG,1970,1.0,f,
AG,1970,0.0,f,
AG,1970,2.0,f,
AG,1970,0.0,f,
AG,1970,0.0,f,
AG,1970,0.0,m,
AG,1970,0.0,m,
AG,1970,0.0,m,
AG,1970,0.0,m,
AG,1970,0.0,m,
AI,1970,0.0,f,15-24
AI,1970,0.0,m,15-24
AI,1970,0.0,f,25-34
AI,1970,0.0,m,25-34
AI,1970,1.0,f,35-44
AI,1970,0.0,f,35-44
AI,1970,0.0,m,35-44
AI,1970,0.0,f,45-54
AI,1970,0.0,m,45-54
AI,1970,0.0,f,55-64
AI,1970,0.0,m,55-64
AI,1970,0.0,f,65+
AI,1970,0.0,m,65+
AI,1970,0.0,f,
AI,1970,0.0,m,
AL,1970,0.0,f,0-4
AL,1970,0.0,f,0-4
AL,1970,0.0,f,0-4
AL,1970,0.0,f,0-4
AL,1970,0.0,m,0-4
AL,1970,1.0,m,0-4
AL,1970,0.0,m,0-4
AL,1970,1.0,m,0-4
AL,1970,1.0,f,15-24
AL,1970,16.0,f,15-24
AL,1970,19.0,f,15-24
AL,1970,5.0,f,15-24
AL,1970,11.0,f,15-24
AL,1970,12.0,f,15-24
AL,1970,20.0,f,15-24
AL,1970,13.0,f,15-24
AL,1970,12.0,f,15-24
AL,1970,3.0,f,15-24
AL,1970,12.0,f,15-24
AL,1970,13.0,f,15-24
AL,1970,20.0,f,15-24
AL,1970,0.0,m,15-24
AL,1970,23.0,m,15-24
AL,1970,17.0,m,15-24
AL,1970,13.0,m,15-24
AL,1970,19.0,m,15-24
AL,1970,13.0,m,15-24
AL,1970,21.0,m,15-24
AL,1970,28.0,m,15-24
AL,1970,12.0,m,15-24
AL,1970,26.0,m,15-24
AL,1970,24.0,m,15-24
AL,1970,19.0,m,15-24
AL,1970,23.0,m,15-24
AL,1970,0.0,f,25-34
AL,1970,19.0,f,25-34
AL,1970,11.0,f,25-34
AL,1970,13.0,f,25-34
AL,1970,10.0,f,25-34
AL,1970,10.0,f,25-34
AL,1970,19.0,f,25-34
AL,1970,8.0,f,25-34
AL,1970,12.0,f,25-34
AL,1970,9.0,f,25-34
AL,1970,8.0,f,25-34
AL,1970,9.0,f,25-34
AL,1970,10.0,f,25-34
AL,1970,0.0,m,25-34
AL,1970,43.0,m,25-34
AL,1970,21.0,m,25-34
AL,1970,23.0,m,25-34
AL,1970,21.0,m,25-34
AL,1970,18.0,m,25-34
AL,1970,27.0,m,25-34
AL,1970,19.0,m,25-34
AL,1970,19.0,m,25-34
AL,1970,21.0,m,25-34
AL,1970,19.0,m,25-34
AL,1970,13.0,m,25-34
AL,1970,26.0,m,25-34
AL,1970,0.0,f,35-44
AL,1970,14.0,f,35-44
AL,1970,12.0,f,35-44
AL,1970,11.0,f,35-44
AL,1970,8.0,f,35-44
AL,1970,5.0,f,35-44
AL,1970,9.0,f,35-44
AL,1970,6.0,f,35-44
AL,1970,8.0,f,35-44
AL,1970,5.0,f,35-44
AL,1970,7.0,f,35-44
AL,1970,7.0,f,35-44
AL,1970,8.0,f,35-44
AL,1970,0.0,m,35-44
AL,1970,33.0,m,35-44
AL,1970,24.0,m,35-44
AL,1970,25.0,m,35-44
AL,1970,14.0,m,35-44
AL,1970,17.0,m,35-44
AL,1970,29.0,m,35-44
AL,1970,32.0,m,35-44
AL,1970,21.0,m,35-44
AL,1970,16.0,m,35-44
AL,1970,22.0,m,35-44
AL,1970,16.0,m,35-44
AL,1970,13.0,m,35-44
AL,1970,13.0,f,45-54
AL,1970,9.0,f,45-54
AL,1970,13.0,f,45-54
AL,1970,5.0,f,45-54
AL,1970,8.0,f,45-54
AL,1970,7.0,f,45-54
AL,1970,6.0,f,45-54
AL,1970,14.0,f,45-54
AL,1970,11.0,f,45-54
AL,1970,5.0,f,45-54
AL,1970,7.0,f,45-54
AL,1970,7.0,f,45-54
AL,1970,5.0,f,45-54
AL,1970,19.0,m,45-54
AL,1970,25.0,m,45-54
AL,1970,18.0,m,45-54
AL,1970,19.0,m,45-54
AL,1970,24.0,m,45-54
AL,1970,19.0,m,45-54
AL,1970,19.0,m,45-54
AL,1970,16.0,m,45-54
AL,1970,24.0,m,45-54
AL,1970,31.0,m,45-54
AL,1970,21.0,m,45-54
AL,1970,24.0,m,45-54
AL,1970,19.0,m,45-54
AL,1970,0.0,f,5-14
AL,1970,2.0,f,5-14
AL,1970,2.0,f,5-14
AL,1970,1.0,f,5-14
AL,1970,0.0,m,5-14
AL,1970,4.0,m,5-14
AL,1970,0.0,m,5-14
AL,1970,0.0,m,5-14
AL,1970,20.0,f,55-64
AL,1970,10.0,f,55-64
AL,1970,11.0,f,55-64
AL,1970,8.0,f,55-64
AL,1970,5.0,f,55-64
AL,1970,7.0,f,55-64
AL,1970,8.0,f,55-64
AL,1970,12.0,f,55-64
AL,1970,10.0,f,55-64
AL,1970,5.0,f,55-64
AL,1970,7.0,f,55-64
AL,1970,11.0,f,55-64
AL,1970,5.0,f,55-64
AL,1970,40.0,m,55-64
AL,1970,21.0,m,55-64
AL,1970,26.0,m,55-64
AL,1970,15.0,m,55-64
AL,1970,19.0,m,55-64
AL,1970,20.0,m,55-64
AL,1970,23.0,m,55-64
AL,1970,22.0,m,55-64
AL,1970,23.0,m,55-64
AL,1970,20.0,m,55-64
AL,1970,19.0,m,55-64
AL,1970,16.0,m,55-64
AL,1970,13.0,m,55-64
AL,1970,16.0,f,65+
AL,1970,8.0,f,65+
AL,1970,13.0,f,65+
AL,1970,16.0,f,65+
AL,1970,11.0,f,65+
AL,1970,9.0,f,65+
AL,1970,17.0,f,65+
AL,1970,20.0,f,65+
AL,1970,22.0,f,65+
AL,1970,18.0,f,65+
AL,1970,13.0,f,65+
AL,1970,9.0,f,65+
AL,1970,10.0,f,65+
AL,1970,30.0,m,65+
AL,1970,19.0,m,65+
AL,1970,24.0,m,65+
AL,1970,15.0,m,65+
AL,1970,16.0,m,65+
AL,1970,30.0,m,65+
AL,1970,25.0,m,65+
AL,1970,19.0,m,65+
AL,1970,20.0,m,65+
AL,1970,37.0,m,65+
AL,1970,20.0,m,65+
AL,1970,19.0,m,65+
AL,1970,16.0,m,65+
AL,1970,0.0,f,
AL,1970,1.0,f,
AL,1970,2.0,f,
AL,1970,0.0,f,
AL,1970,3.0,f,
AL,1970,1.0,f,
AL,1970,2.0,f,
AL,1970,2.0,f,
AL,1970,2.0,f,
AL,1970,0.0,f,
AL,1970,2.0,f,
AL,1970,2.0,f,
AL,1970,1.0,f,
AL,1970,0.0,f,
AL,1970,0.0,f,
AL,1970,0.0,f,
AL,1970,0.0,m,
AL,1970,0.0,m,
AL,1970,1.0,m,
AL,1970,0.0,m,
AL,1970,2.0,m,
AL,1970,3.0,m,
AL,1970,0.0,m,
AL,1970,0.0,m,
AL,1970,5.0,m,
AL,1970,0.0,m,
AL,1970,5.0,m,
AL,1970,0.0,m,
AL,1970,1.0,m,
AL,1970,0.0,m,
AL,1970,0.0,m,
AL,1970,0.0,m,
AM,1970,0.0,f,0-4
AM,1970,0.0,f,0-4
AM,1970,0.0,f,0-4
AM,1970,0.0,f,0-4
AM,1970,1.0,m,0-4
AM,1970,0.0,m,0-4
AM,1970,0.0,m,0-4
AM,1970,0.0,m,0-4
AM,1970,1.0,f,15-24
AM,1970,9.0,f,15-24
AM,1970,16.0,f,15-24
AM,1970,21.0,f,15-24
AM,1970,22.0,f,15-24
AM,1970,24.0,f,15-24
AM,1970,40.0,f,15-24
AM,1970,16.0,f,15-24
AM,1970,29.0,f,15-24
AM,1970,24.0,f,15-24
AM,1970,27.0,f,15-24
AM,1970,28.0,f,15-24
AM,1970,31.0,f,15-24
AM,1970,44.0,f,15-24
AM,1970,18.0,m,15-24
AM,1970,53.0,m,15-24
AM,1970,85.0,m,15-24
AM,1970,159.0,m,15-24
AM,1970,151.0,m,15-24
AM,1970,152.0,m,15-24
AM,1970,154.0,m,15-24
AM,1970,95.0,m,15-24
AM,1970,120.0,m,15-24
AM,1970,130.0,m,15-24
AM,1970,170.0,m,15-24
AM,1970,113.0,m,15-24
AM,1970,81.0,m,15-24
AM,1970,53.0,m,15-24
AM,1970,7.0,f,25-34
AM,1970,11.0,f,25-34
AM,1970,22.0,f,25-34
AM,1970,20.0,f,25-34
AM,1970,15.0,f,25-34
AM,1970,27.0,f,25-34
AM,1970,31.0,f,25-34
AM,1970,24.0,f,25-34
AM,1970,31.0,f,25-34
AM,1970,17.0,f,25-34
AM,1970,21.0,f,25-34
AM,1970,29.0,f,25-34
AM,1970,22.0,f,25-34
AM,1970,25.0,f,25-34
AM,1970,16.0,m,25-34
AM,1970,100.0,m,25-34
AM,1970,59.0,m,25-34
AM,1970,90.0,m,25-34
AM,1970,88.0,m,25-34
AM,1970,130.0,m,25-34
AM,1970,120.0,m,25-34
AM,1970,63.0,m,25-34
AM,1970,98.0,m,25-34
AM,1970,72.0,m,25-34
AM,1970,104.0,m,25-34
AM,1970,116.0,m,25-34
AM,1970,87.0,m,25-34
AM,1970,103.0,m,25-34
AM,1970,2.0,f,35-44
AM,1970,9.0,f,35-44
AM,1970,17.0,f,35-44
AM,1970,11.0,f,35-44
AM,1970,20.0,f,35-44
AM,1970,24.0,f,35-44
AM,1970,22.0,f,35-44
AM,1970,32.0,f,35-44
AM,1970,13.0,f,35-44
AM,1970,12.0,f,35-44
AM,1970,10.0,f,35-44
AM,1970,16.0,f,35-44
AM,1970,11.0,f,35-44
AM,1970,10.0,f,35-44
AM,1970,11.0,m,35-44
AM,1970,51.0,m,35-44
AM,1970,77.0,m,35-44
AM,1970,79.0,m,35-44
AM,1970,115.0,m,35-44
AM,1970,131.0,m,35-44
AM,1970,93.0,m,35-44
AM,1970,109.0,m,35-44
AM,1970,75.0,m,35-44
AM,1970,76.0,m,35-44
AM,1970,83.0,m,35-44
AM,1970,96.0,m,35-44
AM,1970,100.0,m,35-44
AM,1970,74.0,m,35-44
AM,1970,1.0,f,45-54
AM,1970,8.0,f,45-54
AM,1970,7.0,f,45-54
AM,1970,10.0,f,45-54
AM,1970,6.0,f,45-54
AM,1970,8.0,f,45-54
AM,1970,10.0,f,45-54
AM,1970,36.0,f,45-54
AM,1970,12.0,f,45-54
AM,1970,10.0,f,45-54
AM,1970,11.0,f,45-54
AM,1970,15.0,f,45-54
AM,1970,7.0,f,45-54
AM,1970,14.0,f,45-54
AM,1970,10.0,m,45-54
AM,1970,43.0,m,45-54
AM,1970,51.0,m,45-54
AM,1970,39.0,m,45-54
AM,1970,76.0,m,45-54
AM,1970,63.0,m,45-54
AM,1970,54.0,m,45-54
AM,1970,93.0,m,45-54
AM,1970,104.0,m,45-54
AM,1970,62.0,m,45-54
AM,1970,84.0,m,45-54
AM,1970,98.0,m,45-54
AM,1970,92.0,m,45-54
AM,1970,87.0,m,45-54
AM,1970,3.0,f,5-14
AM,1970,3.0,f,5-14
AM,1970,2.0,f,5-14
AM,1970,4.0,f,5-14
AM,1970,2.0,m,5-14
AM,1970,0.0,m,5-14
AM,1970,1.0,m,5-14
AM,1970,0.0,m,5-14
AM,1970,1.0,f,55-64
AM,1970,4.0,f,55-64
AM,1970,14.0,f,55-64
AM,1970,5.0,f,55-64
AM,1970,9.0,f,55-64
AM,1970,8.0,f,55-64
AM,1970,7.0,f,55-64
AM,1970,4.0,f,55-64
AM,1970,9.0,f,55-64
